beta,replication,n_edges,spectral_gap,clustering,frustration,optimal_welfare,sa_mean_welfare,sa_std_welfare,sa_approx_ratio,sa_coincidence_rate,sa_mean_cooperation,sa_mean_logical_entropy,sqa_mean_welfare,sqa_std_welfare,sqa_approx_ratio,sqa_coincidence_rate,sqa_mean_cooperation,sqa_mean_logical_entropy,eq_welfare,eq_approx_ratio,eq_coincidence,eq_ground_state_overlap,eq_cooperation,eq_logical_entropy
0.5,2,20,0.31594149514858133,0.5238095238095238,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.5,3,20,0.5399421362751923,0.35294117647058826,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.5,4,20,0.4752144827467617,0.3333333333333333,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.5,5,20,0.6124524340777756,0.234375,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.5,6,20,0.4064610986754854,0.46153846153846156,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.5,7,20,0.5096301319913916,0.24193548387096775,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.5,8,20,0.5138596745516529,0.28125,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.5,9,20,0.5155393435995698,0.31343283582089554,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.5,10,20,0.5259495489837985,0.421875,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.5,11,20,0.479245672221244,0.3870967741935484,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.5,12,20,0.5165557083522779,0.328125,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.5,13,20,0.545472547599066,0.40298507462686567,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.5,14,20,0.4827529608857972,0.3230769230769231,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.5,15,20,0.41752769041740156,0.45454545454545453,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.5,16,20,0.5033328848904477,0.3582089552238806,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.5,17,20,0.5988025853955077,0.2857142857142857,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.5,18,20,0.6248746137878789,0.234375,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.5,19,20,0.46645212819369586,0.4153846153846154,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.5,20,20,0.4237160272540516,0.46875,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.5,21,20,0.3554682948932595,0.46153846153846156,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.5,22,20,0.43602354258328757,0.3387096774193548,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.5,23,20,0.42846168640205196,0.3870967741935484,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.5,24,20,0.502932039317451,0.36923076923076925,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.5,25,20,0.540909776934128,0.4782608695652174,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
